Orthography	Transcription	Length	Frequency	LogFrequency	Familiarity
a	x	1	23237	5.3662	7
aardvark	ardvark	7	1	1	6.6667
aback	xb@k	4	2	1.301	5.0833
abacus	@bxkxs	6	1	1	5.1667
abaft	xb@ft	5	1	1	2.6667
abalone	@bxloni	7	1	1	5
abandon	xb@nd|n	7	17	2.2304	7
abase	xbes	4	1	1	3.8333
abash	xb@S	4	1	1	5.3333
abate	xbet	4	1	1	5.1667
abatis	@bxti	5	1	1	2.0833
abattoir	@bxtwar	7	1	1	1.9167
abbacy	@bxsi	5	1	1	2.1667
abbe	@be	3	3	1.4771	1.4167
abbess	@bxs	4	1	1	3.6667
abbey	@bi	3	7	1.8451	5.8333
abbot	@bxt	4	2	1.301	5.1667
abbreviate	xbriviet	8	1	1	7
abbreviation	xbrivieS|n	10	1	1	7
abdicate	@bdIket	7	1	1	4.6667
abdication	@bdIkeS|n	9	1	1	3.8333
abdomen	@bdxmxn	7	6	1.7782	6.9167
abdominal	@bdamxnL	8	4	1.6021	7
abduct	@bd^kt	6	1	1	6.9167
abeam	xbim	4	1	1	3.5833
abecedarian	ebisidErixn	11	1	1	1.4167
abed	xbEd	4	1	1	3.0833
aberrant	@bErxnt	7	5	1.699	3.0833
aberration	@bXeS|n	7	3	1.4771	4.2727
abet	xbEt	4	1	1	3.0833
abeyance	xbexns	6	3	1.4771	3.5
abhor	xbhor	5	1	1	5.0833
abide	xbYd	4	7	1.8451	6.75
ability	xbIl|ti	7	74	2.8692	7
abject	@bJEkt	6	3	1.4771	3.5833
abjection	@bJEkS|n	8	1	1	4.6667
abjectly	@bJEktli	8	1	1	4.0833
abjuration	@bJxreS|n	9	1	1	2.6667
abjure	@bJUr	5	1	1	2.9167
ablate	@blet	5	1	1	3.0833
ablative	@blxtIv	7	1	1	2.8333
ablaze	xblez	5	3	1.4771	7
able	ebL	3	216	3.3345	7
abloom	xblum	5	1	1	3
ablution	xbluS|n	7	1	1	2.9167
abnegate	@bnIget	7	1	1	2.1667
abnegation	@bnIgeS|n	9	1	1	2.4167
abnormal	@bnormL	7	3	1.4771	7
abnormality	@bnorm@l|ti	11	1	1	6.9167
abnormally	@bnormLi	8	1	1	7
aboard	xbord	5	25	2.3979	6.6667
abode	xbod	4	4	1.6021	6.0833
abolish	xbalIS	6	8	1.9031	6.75
abolition	@bxlIS|n	8	10	2	6.5
abolitionist	@bxlIS|n|st	11	1	1	6.4167
abominable	xbamxnxbL	9	1	1	6.5
abominate	xbamxnet	8	1	1	5.5833
aboriginal	@bXIJ|nL	8	1	1	4.5833
aborigine	@bXIJ|ni	8	7	1.8451	5.1667
aborning	xbornIG	7	1	1	3.4167
abortion	xborS|n	7	6	1.7782	7
abound	xbWnd	5	1	1	6.5
about	xbWt	4	1815	4.2589	7
above	xb^v	4	296	3.4713	7
abracadabra	@brxkxd@brx	11	1	1	6.25
abrade	xbred	5	1	1	2.9167
abrasive	xbresIv	7	1	1	6.9167
abreast	xbrEst	6	5	1.699	6.25
abridge	xbrIJ	5	1	1	5.75
abroad	xbrcd	5	51	2.7076	6.6667
abrogate	@brxget	7	1	1	3.0833
abrogation	@brxgeS|n	9	1	1	4.2727
abrupt	xbr^pt	6	18	2.2553	6.9167
abscess	@bsEs	5	1	1	6.25
abscound	@bskand	7	1	1	4.3333
absence	@bs|ns	6	53	2.7243	7
absent	@bs|nt	6	28	2.4472	7
absentee	@bs|nti	7	1	1	7
absentminded	@bs|ntmYnd|d	12	1	1	7
absinthe	@bsInT	6	1	1	3.75
absolute	@bsxlut	7	30	2.4771	7
absolutely	@bsxlutli	9	27	2.4314	7
absolution	@bsxluS|n	9	2	1.301	5.75
absolutism	@bsxlutIzM	10	1	1	4.75
absolve	xbzalv	6	1	1	5
absorb	xbsorb	6	13	2.1139	7
abstain	xbsten	6	1	1	6.8333
abstemious	@bstimixs	9	1	1	2.8333
